Date;PlatformsAvailable;PlatformEmulators;EmulatorVersions;ArchiveSizeMB;UnpackedSizeMB;CompressionRatio
20161115;158;366;785;1215;4516;73
20161116;158;369;797;1234;4564;73
20161117;159;385;822;1260;4740;73
20161118;159;390;827;1262;4745;73
20161119;160;391;839;1268;4791;74
20161123;160;395;878;1561;5699;73
20161125;162;398;973;1717;6425;73
20161127;162;399;1003;1845;6883;73
20161129;162;399;1006;1855;6896;73
20161130;162;399;1148;2547;8797;71
20161203;162;401;1247;2895;10187;72
20161204;162;404;1414;3117;11203;72
20161208;162;404;1430;3177;11283;72
20161211;162;406;1488;3315;11639;72
